transaction_id,user_id,amount,transaction_type,account_age_days,country,device_type,ip_address_risk,time_of_day,num_prev_transactions,avg_transaction_value,is_foreign_transaction,is_high_risk_country,is_vpn_used,login_attempts,device_trust_score,payment_gateway,browser_fingerprint_score,session_duration_sec,fraudulent
TXN00111,U2537,85.54,Bill Payment,1567,USA,Mobile,56,Evening,541,4033.1,1,1,0,9,47,Stripe,36,660,0
TXN00112,U0302,43.95,Deposit,3165,Nigeria,Tablet,38,Morning,610,2737.49,1,1,1,1,20,Stripe,7,247,1
TXN00113,U1174,663.74,Bill Payment,2211,France,Mobile,31,Evening,145,2833.73,0,1,0,4,59,Razorpay,88,352,0
TXN00114,U2968,412.72,Withdrawal,3153,USA,Mobile,67,Evening,925,2689.0,0,1,1,4,14,Stripe,43,961,1
TXN00115,U0870,250.87,Deposit,3135,France,Mobile,87,Evening,234,2679.05,1,1,1,9,6,Square,97,1370,1
TXN00116,U0369,512.88,Transfer,612,Germany,Tablet,1,Afternoon,473,993.44,0,0,0,3,91,Razorpay,18,1479,0
TXN00117,U2347,406.99,Withdrawal,3508,UK,Tablet,77,Morning,398,1419.48,1,0,1,9,60,PayPal,23,900,1
TXN00118,U0308,51.62,Withdrawal,1072,China,Desktop,41,Night,863,2440.65,1,0,0,2,8,Razorpay,94,426,0
TXN00119,U1743,557.7,Payment,2493,Brazil,Tablet,37,Afternoon,610,3390.83,1,1,0,1,52,Square,21,1348,1
TXN00120,U0571,193.77,Transfer,1944,Canada,Mobile,54,Evening,459,1363.41,0,0,0,7,93,PayPal,66,815,0
TXN00121,U1417,411.84,Transfer,74,France,Tablet,54,Morning,701,4031.64,1,0,1,2,95,Stripe,64,772,1
TXN00122,U0412,566.06,Payment,2874,Nigeria,Desktop,33,Night,788,4053.91,0,0,0,1,76,PayPal,73,361,0
TXN00123,U0508,95.68,Deposit,1728,India,Mobile,45,Evening,907,1373.03,0,0,1,9,45,Square,69,726,0
TXN00124,U1560,29.15,Bill Payment,542,UK,Desktop,42,Morning,432,2802.52,0,1,0,8,96,Square,41,1152,0
TXN00125,U1638,64.67,Bill Payment,157,UK,Tablet,1,Evening,256,1747.87,1,0,0,3,65,Stripe,46,1426,0
TXN00126,U2336,139.26,Bill Payment,3559,Germany,Desktop,35,Night,714,957.48,0,0,1,2,83,PayPal,60,68,1
TXN00127,U2703,425.96,Bill Payment,1290,Australia,Desktop,69,Morning,438,4030.97,1,1,0,1,21,Razorpay,70,1251,1
TXN00128,U1939,492.84,Bill Payment,256,Canada,Tablet,35,Night,536,4957.45,0,0,1,4,34,PayPal,72,963,0
TXN00129,U0510,1.74,Payment,3111,Australia,Desktop,21,Evening,174,2830.77,1,1,1,6,89,Square,32,992,0
TXN00130,U0395,178.72,Transfer,3127,Brazil,Tablet,68,Evening,712,4570.16,0,1,1,2,2,Square,55,1481,1
TXN00131,U0554,135.07,Deposit,1052,UK,Mobile,37,Night,806,3212.63,0,0,0,6,40,Stripe,85,53,1
TXN00132,U0020,62.79,Withdrawal,937,Canada,Desktop,53,Afternoon,490,2830.79,0,0,1,5,50,Razorpay,76,1484,1
TXN00133,U2417,31.92,Bill Payment,2166,Germany,Mobile,21,Afternoon,282,2403.32,0,1,0,1,20,PayPal,49,440,1
TXN00134,U2471,102.98,Payment,2418,Australia,Tablet,74,Morning,604,1182.4,1,1,0,7,28,Razorpay,38,509,0
TXN00135,U0642,715.78,Deposit,2257,China,Tablet,30,Morning,561,425.86,0,0,1,7,0,PayPal,93,1366,0
TXN00136,U0813,97.6,Deposit,2635,Canada,Desktop,52,Afternoon,218,2214.47,1,1,0,5,20,Square,40,923,0
TXN00137,U0038,182.86,Deposit,3649,Canada,Desktop,92,Night,950,2808.74,0,1,1,4,68,Stripe,42,635,1
TXN00138,U2533,303.52,Payment,2897,France,Tablet,58,Evening,155,2549.7,1,1,1,2,66,Square,49,1402,1
TXN00139,U1934,112.99,Withdrawal,1892,China,Tablet,96,Evening,56,3479.38,1,1,1,7,56,PayPal,30,1444,1
TXN00140,U2893,891.95,Bill Payment,1582,USA,Mobile,85,Morning,510,964.53,0,0,1,8,89,Square,25,1844,0
TXN00141,U1068,820.5,Deposit,316,Canada,Mobile,48,Morning,742,1774.24,0,0,1,9,43,Stripe,97,360,0
TXN00142,U2307,72.52,Payment,3465,UK,Desktop,26,Evening,337,2080.76,0,0,0,6,27,Square,60,784,0
TXN00143,U0033,171.91,Transfer,2492,Germany,Desktop,71,Afternoon,718,936.68,1,1,1,2,99,Razorpay,48,702,1
TXN00144,U1762,89.48,Payment,1776,Brazil,Desktop,56,Morning,271,4532.79,1,0,1,1,98,Square,79,1527,1
TXN00145,U1115,83.81,Payment,3331,Nigeria,Desktop,5,Evening,726,3409.15,0,0,0,2,44,Razorpay,80,156,0
TXN00146,U0544,9.4,Payment,1971,China,Desktop,45,Morning,989,463.85,0,0,0,3,84,Stripe,1,1799,0
TXN00147,U1773,235.12,Deposit,1222,India,Desktop,24,Afternoon,995,3565.43,1,0,0,1,61,Stripe,89,346,0
TXN00148,U0705,174.63,Payment,1723,Nigeria,Desktop,97,Night,183,2741.2,1,1,0,5,22,Razorpay,5,1286,1
TXN00149,U0096,13.21,Transfer,2676,Nigeria,Desktop,8,Morning,290,2622.08,0,0,0,7,1,Square,18,220,0
TXN00150,U1167,81.66,Deposit,2493,UK,Mobile,63,Evening,923,4948.98,0,1,1,9,46,Stripe,19,268,1
TXN00151,U1035,597.22,Transfer,570,Australia,Tablet,99,Afternoon,301,3092.91,0,1,1,6,68,PayPal,72,105,1
TXN00152,U0992,68.47,Refund,2630,Nigeria,Tablet,30,Evening,578,4484.16,1,0,1,8,66,Razorpay,65,133,1
TXN00153,U0666,39.13,Payment,2653,Germany,Desktop,18,Afternoon,246,4568.18,1,1,0,2,8,Square,29,769,1
TXN00154,U1299,168.07,Bill Payment,2789,Nigeria,Tablet,64,Night,15,511.59,1,1,0,5,55,Square,32,306,1
TXN00155,U0970,1061.01,Bill Payment,908,Australia,Desktop,87,Night,334,46.77,0,0,0,9,40,Square,25,264,0
TXN00156,U2939,69.29,Deposit,649,France,Mobile,97,Evening,210,2179.16,1,0,0,7,85,Stripe,61,588,1
TXN00157,U0221,278.79,Bill Payment,1641,Canada,Desktop,16,Night,585,3847.58,0,1,0,7,19,Stripe,47,1757,0
TXN00158,U1971,358.47,Deposit,2353,USA,Mobile,33,Morning,372,4121.86,0,0,1,3,59,PayPal,99,548,0
TXN00159,U0582,67.83,Payment,339,UK,Mobile,98,Afternoon,816,3938.53,0,1,0,3,40,PayPal,14,788,0
TXN00160,U1953,325.69,Withdrawal,529,France,Mobile,35,Afternoon,963,2239.2,0,0,1,2,35,PayPal,97,35,0
TXN00161,U2185,114.63,Withdrawal,2102,Germany,Desktop,12,Afternoon,405,3751.07,1,1,1,9,67,PayPal,14,137,0
TXN00162,U2655,250.13,Transfer,1136,Germany,Mobile,58,Night,529,3595.29,1,0,0,4,33,PayPal,76,943,0
TXN00163,U1846,250.96,Payment,2732,Australia,Desktop,88,Night,21,1572.53,0,0,0,9,95,Stripe,57,657,0
TXN00164,U1689,191.85,Bill Payment,1952,Brazil,Mobile,75,Morning,617,847.76,1,1,1,4,78,Razorpay,88,1164,1
TXN00165,U1277,23.66,Payment,419,UK,Mobile,20,Night,118,3108.99,1,0,0,8,14,Razorpay,93,911,0
TXN00166,U2229,450.91,Refund,2353,UK,Tablet,64,Afternoon,527,3387.05,0,0,0,1,63,Square,54,711,0
TXN00167,U2002,96.7,Withdrawal,3510,France,Desktop,5,Morning,183,2842.01,1,0,1,1,80,Square,79,37,0
TXN00168,U0569,51.61,Bill Payment,1680,Nigeria,Tablet,10,Morning,514,1069.83,1,0,0,6,41,Square,63,648,0
TXN00169,U1764,10.41,Withdrawal,85,Canada,Mobile,79,Afternoon,491,1386.98,1,0,0,6,29,Stripe,38,503,0
TXN00170,U1943,223.44,Payment,3596,Nigeria,Tablet,21,Evening,505,3543.89,0,1,1,7,99,PayPal,41,498,1
TXN00171,U2538,282.96,Bill Payment,2300,Brazil,Mobile,10,Night,634,4813.3,0,1,0,7,12,Square,2,1178,1
TXN00172,U2282,4.18,Transfer,1752,China,Tablet,36,Night,754,4724.45,1,0,0,3,69,Square,74,318,0
TXN00173,U1720,179.41,Payment,126,China,Tablet,25,Afternoon,436,2600.69,0,1,1,9,30,Square,30,960,0
TXN00174,U2095,64.21,Transfer,2658,India,Desktop,56,Evening,802,4433.36,1,0,0,9,19,PayPal,6,358,0
TXN00175,U0928,259.03,Bill Payment,2028,France,Desktop,25,Night,104,152.11,0,1,1,3,15,Stripe,21,1778,1
TXN00176,U0510,47.9,Withdrawal,1429,Australia,Tablet,20,Evening,102,4306.45,1,0,0,7,19,Razorpay,41,1259,0
TXN00177,U0839,293.55,Refund,2352,Brazil,Tablet,56,Afternoon,207,2383.37,0,0,0,4,65,Razorpay,59,879,1
TXN00178,U1238,122.24,Deposit,3100,Canada,Desktop,25,Afternoon,980,3908.73,1,0,0,6,15,Stripe,13,487,1
TXN00179,U0697,690.09,Withdrawal,2896,UK,Mobile,14,Evening,660,32.89,0,1,1,6,34,PayPal,52,597,0
TXN00180,U2577,36.99,Transfer,1290,Germany,Mobile,62,Afternoon,704,4343.46,0,1,0,5,61,Razorpay,70,1124,0
TXN00181,U1889,104.28,Payment,3124,Brazil,Mobile,34,Afternoon,824,2976.92,0,1,0,6,82,PayPal,28,542,1
TXN00182,U2363,30.11,Bill Payment,2703,Canada,Mobile,10,Morning,733,1204.95,1,0,1,7,38,Square,77,915,0
TXN00183,U1017,646.55,Withdrawal,644,Brazil,Tablet,72,Evening,46,1740.68,1,0,1,2,99,Stripe,18,420,1
TXN00184,U0342,524.58,Refund,2906,Nigeria,Mobile,86,Night,929,1007.33,0,0,0,7,95,Razorpay,70,1209,0
TXN00185,U1887,74.58,Bill Payment,2559,India,Tablet,67,Night,303,2124.91,1,0,0,7,46,Stripe,21,1089,0
TXN00186,U1212,269.69,Transfer,2255,Canada,Tablet,93,Morning,166,1653.38,1,1,0,7,98,PayPal,26,1664,0
TXN00187,U1857,424.87,Bill Payment,574,Nigeria,Mobile,91,Afternoon,493,2674.84,0,0,0,5,3,PayPal,43,1032,0
TXN00188,U0475,202.53,Bill Payment,2923,France,Mobile,88,Afternoon,86,4074.85,1,1,1,3,32,PayPal,75,1506,1
TXN00189,U1568,188.57,Payment,2559,Germany,Mobile,85,Morning,225,4911.46,0,0,1,5,69,Square,32,1006,0
TXN00190,U2782,69.22,Deposit,2022,Australia,Desktop,88,Morning,119,1261.03,1,1,0,1,31,Square,72,1685,1
TXN00191,U2460,24.43,Transfer,1668,India,Tablet,89,Afternoon,925,537.01,1,0,0,5,66,Square,13,1877,1
TXN00192,U2319,568.78,Payment,3625,Canada,Mobile,49,Evening,247,1981.36,0,0,1,3,51,Stripe,17,1040,0
TXN00193,U1222,576.69,Deposit,2249,Canada,Desktop,28,Morning,504,722.05,1,0,1,7,20,Stripe,81,1747,1
TXN00194,U1641,250.67,Payment,2871,USA,Tablet,63,Evening,945,4172.03,0,1,1,4,25,Square,49,655,0
TXN00195,U1535,103.51,Deposit,1308,Nigeria,Tablet,40,Night,352,2508.12,1,0,0,6,46,Razorpay,72,1759,0
TXN00196,U0782,107.39,Deposit,3429,UK,Tablet,95,Afternoon,143,3101.71,1,0,0,6,6,PayPal,70,786,1
TXN00197,U2096,323.62,Deposit,3119,France,Mobile,25,Evening,744,757.31,1,0,1,4,31,Stripe,96,1043,0
TXN00198,U1929,568.52,Payment,3068,France,Mobile,27,Evening,349,3749.3,1,0,0,1,78,Square,41,273,0
TXN00199,U2308,545.28,Bill Payment,137,Canada,Tablet,83,Afternoon,514,4868.04,0,0,1,3,3,Square,32,294,1
TXN00200,U1052,378.39,Deposit,130,France,Tablet,47,Afternoon,748,2414.51,0,0,0,3,80,PayPal,10,1289,0
TXN00201,U2621,256.83,Bill Payment,1219,India,Desktop,65,Night,316,4812.47,1,1,1,6,37,Square,64,1400,0
TXN00202,U1243,21.97,Transfer,1018,Australia,Desktop,22,Afternoon,769,178.41,1,1,0,8,81,PayPal,74,1610,1
TXN00203,U2314,44.07,Refund,3436,China,Tablet,38,Evening,25,183.43,0,1,1,2,80,Square,89,1971,0
TXN00204,U0422,572.06,Bill Payment,432,Australia,Desktop,68,Morning,529,4800.26,1,0,0,6,13,Square,70,1028,1
TXN00205,U1174,233.12,Refund,3141,Australia,Tablet,20,Afternoon,321,3502.83,0,0,0,7,51,Square,33,737,0
TXN00206,U2590,2.31,Deposit,3530,Australia,Desktop,85,Afternoon,295,947.51,0,1,1,3,0,PayPal,7,47,1
TXN00207,U0135,26.75,Refund,2588,USA,Tablet,48,Morning,130,1822.55,1,0,1,1,32,Square,63,485,1
TXN00208,U1989,272.29,Refund,2383,UK,Mobile,74,Afternoon,16,2541.23,0,1,0,2,16,PayPal,92,1308,0
TXN00209,U1382,1.27,Deposit,2574,China,Tablet,93,Afternoon,919,3514.68,1,1,0,5,31,Square,98,432,1
TXN00210,U1702,43.83,Bill Payment,2606,China,Mobile,91,Morning,769,4210.92,0,1,1,1,39,PayPal,71,821,0
TXN00211,U0517,198.92,Deposit,909,Australia,Tablet,35,Evening,581,417.87,1,1,1,4,41,Razorpay,34,993,1
